drug_1_name,drug_2_name,weight
Clobazam,Thioridazine,1
Pamidronic acid,Meloxicam,1
Treprostinil,Propranolol,1
Bosentan,Tofacitinib,1
Bosentan,Trimipramine,1
Minocycline,Atazanavir,1
Phenytoin,Solifenacin,1
Simvastatin,Eltrombopag,1
Paricalcitol,Cobicistat,1
Pramipexole,Lamotrigine,1
Sunitinib,Roflumilast,1
Citalopram,Maprotiline,1
Olanzapine,Gliclazide,1
Norfloxacin,Picosulfuric acid,1
Butabarbital,Doxylamine,1
Galantamine,Tofacitinib,1
Pegvisomant,Albiglutide,1
Torasemide,Hexobarbital,1
Prazosin,Nebivolol,1
Tramadol,Fentanyl,1
Aripiprazole,Stiripentol,1
Sufentanil,Bretylium,1
Cisapride,Isoflurophate,1
Nelfinavir,Chloroquine,1
Secobarbital,Trimipramine,1
Methylphenidate,Prazosin,1
Procainamide,Amiodarone,1
Prochlorperazine,Promethazine,1
Tipranavir,Bepridil,1
Esmolol,Dexmedetomidine,1
Mifepristone,Tofacitinib,1
Goserelin,Paroxetine,1
Ibritumomab tiuxetan,Dalteparin,1
Amitriptyline,Mefenamic acid,1
Atomoxetine,Phendimetrazine,1
Efavirenz,Warfarin,1
Spectinomycin,Tiludronic acid,1
Fosphenytoin,Lurasidone,1
Topiramate,Loratadine,1
Butalbital,Terbutaline,1
Pravastatin,Itraconazole,1
Ethynodiol diacetate,Canagliflozin,1
Cevimeline,Tacrine,1
Lorazepam,Ziconotide,1
Botulinum toxin type B,Amitriptyline,1
Clorazepic acid,Ethanol,1
Metoclopramide,Isocarboxazid,1
Prednisolone,Repaglinide,1
Bretylium,Nadolol,1
Nisoldipine,Rifabutin,1
Nelfinavir,Mitotane,1
Aprepitant,Fentanyl,1
Reserpine,Desvenlafaxine,1
Triamcinolone,Insulin human,1
Sumatriptan,Pimozide,1
Tranylcypromine,Almotriptan,1
Meloxicam,Ceritinib,1
Erythromycin,Vardenafil,1
Orphenadrine,Gabapentin enacarbil,1
Carbamazepine,Etravirine,1
Dofetilide,Triamterene,1
Phenmetrazine,Racepinephrine,1
Etacrynic acid,Aspirin,1
Droperidol,Metaxalone,1
Fluphenazine,Promethazine,1
Tenecteplase,Paroxetine,1
Posaconazole,Rilpivirine,1
Tacrine,Mepenzolate,1
Caffeine,Methoxamine,1
Olanzapine,Cathinone,1
Brimonidine,Guanfacine,1
Trifluoperazine,Deferasirox,1
Amitriptyline,Salmeterol,1
Tositumomab,Levomilnacipran,1
Oxycodone,Tranylcypromine,1
Treprostinil,Aspirin,1
Mephentermine,Pheniramine,1
Dantrolene,Bepridil,1
Methsuximide,Rotigotine,1
Axitinib,Fosaprepitant,1
Dyphylline,Formoterol,1
Hydromorphone,Rotigotine,1
Atazanavir,Siltuximab,1
Leuprolide,Pentamidine,1
Imatinib,Cobicistat,1
Lorazepam,Chlorpromazine,1
Fluvoxamine,Alprazolam,1
Ziprasidone,Selegiline,1
Caffeine,Talniflumate,1
Methotrexate,Nafcillin,1
Desmopressin,Diflunisal,1
Calcitriol,Dabrafenib,1
Methoxamine,Dextroamphetamine,1
Dutasteride,Boceprevir,1
Dimenhydrinate,Mirabegron,1
Imipramine,Acetophenazine,1
Natalizumab,Streptozocin,1
Linezolid,Salmeterol,1
Vardenafil,Ceritinib,1
Rocuronium,Streptomycin,1
Dexamethasone,Fosamprenavir,1
Pimozide,Itraconazole,1
Midodrine,Aminophylline,1
Voriconazole,Ruxolitinib,1
Tolbutamide,Triptorelin,1
Prazosin,Methohexital,1
Tramadol,Perphenazine,1
Urokinase,Clopidogrel,1
Glimepiride,Methotrimeprazine,1
Duloxetine,Nesiritide,1
Bortezomib,Teriflunomide,1
Valsartan,Dexmedetomidine,1
Glimepiride,Dexketoprofen,1
Nimodipine,Mitotane,1
Aprepitant,Trabectedin,1
Duloxetine,Clevidipine,1
Candesartan cilexetil,Tadalafil,1
Darunavir,Daclatasvir,1
Topiramate,Diclofenamide,1
Pimecrolimus,Corticotropin,1
Trimethoprim,Dabrafenib,1
Mirtazapine,Isocarboxazid,1
Chlorpromazine,Moclobemide,1
Zolpidem,Quazepam,1
Phenelzine,Mianserin,1
Sulfisoxazole,Nitrendipine,1
Zolpidem,Stiripentol,1
Hydroxyzine,Efavirenz,1
Treprostinil,Edoxaban,1
Amphetamine,Fencamfamin,1
Dasatinib,Avanafil,1
Octreotide,Ceritinib,1
Reserpine,Azelastine,1
